Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,88.0,1.0,88.0,88.0,0.0,8429.683627130886,8429.683627130886,0.0,0.0,,,,,,,,,,,,,,,,3639.4874643262838,2321.737067382155,8117.526256526696,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,185.0,2.0,97.0,185.0,0.0,8208.944142171535,8208.944142171535,0.0,7.391014099121094,,,,,,,,,,,,,,,,3897.6610757839835,2339.1788435158282,7838.709727548031,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,390.0,3.0,205.0,390.0,0.0,16381.773547504006,16381.773547504006,0.0,21.701773166656494,,,,,,,,,,,,,,,,8125.336278356389,4225.343676736276,14730.81042086182,106.39074390243903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,433.0,4.0,43.0,433.0,0.0,2868.915939757884,2868.915939757884,0.0,24.920851230621338,,,,,,,,,,,,,,,,929.801915657561,835.7561808289922,2831.7662236082183,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,629.0,5.0,196.0,629.0,0.0,18090.856244511004,18090.856244511004,0.0,38.66869831085205,,,,,,,,,,,,,,,,9314.498025699411,4941.52941287183,16281.496127601526,295.0214081632653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,805.0,6.0,176.0,805.0,0.0,20732.63627189086,20732.63627189086,0.0,50.99537968635559,,,,,,,,,,,,,,,,10311.71126316999,5110.844734223709,18936.711801374335,122.81868181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,915.0,7.0,110.0,915.0,0.0,8281.227316741808,8281.227316741808,0.0,58.97340989112854,,,,,,,,,,,,,,,,3668.823182237606,2092.724835332389,7885.542309004675,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,996.0,8.0,81.0,996.0,0.0,6627.034345553324,6627.034345553324,0.0,64.90666317939758,,,,,,,,,,,,,,,,2880.6371952400964,1932.1513963385821,6400.102835574454,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,1131.0,9.0,135.0,1131.0,0.0,11647.393660469472,11647.393660469472,0.0,74.44027829170227,,,,,,,,,,,,,,,,5747.4125476430845,3281.2047057431814,10882.375341879542,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,1290.0,10.0,159.0,1290.0,0.0,13078.579116954685,13078.579116954685,0.0,85.6435227394104,,,,,,,,,,,,,,,,6565.719855994003,3502.3539114919527,12046.67633618783,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
