Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,602.0,18.0,47.0,602.0,0.0,6166.927343372641,6166.927343372641,0.0,53.34900903701782,,,,,,,,,,,,,,,,2621.5787874800512,2030.1576324412106,6049.762903264347,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,618.0,19.0,16.0,618.0,0.0,1956.3469636811835,1956.3469636811835,0.0,54.90669631958008,,,,,,,,,,,,,,,,810.6253194514306,669.8582667429878,1945.3222808508112,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,675.0,20.0,57.0,675.0,0.0,6756.6269457028075,6756.6269457028075,0.0,59.273863077163696,,,,,,,,,,,,,,,,2658.5656403235075,1978.32121575586,6611.700404608979,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,28.0,1.0,28.0,703.0,0.0,4088.062867660713,4088.062867660713,0.0,78.08106875419617,,,,,,,,,,,,,,,,1774.6618691768258,1290.061318666759,4042.414750073835,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,50.0,2.0,22.0,725.0,0.0,3018.685246325607,3018.685246325607,0.0,79.96233320236206,,,,,,,,,,,,,,,,1268.2716044759256,1000.9967284037842,2993.7770480752115,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,93.0,3.0,43.0,768.0,0.0,2714.0419631555365,2714.0419631555365,0.0,83.33201503753662,,,,,,,,,,,,,,,,988.707074909988,701.2552644042673,2674.2017606951035,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,168.0,4.0,75.0,843.0,0.0,9723.366610108807,9723.366610108807,0.0,88.8546781539917,,,,,,,,,,,,,,,,4802.912763141839,2907.9082713448142,9372.520673546718,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,192.0,5.0,24.0,867.0,0.0,2466.45968773778,2466.45968773778,0.0,90.93515610694885,,,,,,,,,,,,,,,,1074.1799289850453,753.8124175691636,2443.1224919340734,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,253.0,6.0,61.0,928.0,0.0,6545.690835165975,6545.690835165975,0.0,95.46499609947205,,,,,,,,,,,,,,,,2764.7428642758146,1907.359127365644,6383.424945390542,-0.015014960029969998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,302.0,7.0,49.0,977.0,0.0,4702.147023922166,4702.147023922166,0.0,99.22893834114075,,,,,,,,,,,,,,,,1868.615460859502,1396.4758083995916,4615.200066406458,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,347.0,8.0,45.0,1022.0,0.0,4919.49919354389,4919.49919354389,0.0,102.71615433692932,,,,,,,,,,,,,,,,2246.240969965447,1512.8214256748477,4823.241591486931,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,367.0,9.0,20.0,1042.0,0.0,2387.892980001601,2387.892980001601,0.0,104.48452687263489,,,,,,,,,,,,,,,,1022.1635003918816,802.5251081532292,2369.8195295232867,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,387.0,10.0,20.0,1062.0,0.0,2093.7934572319095,2093.7934572319095,0.0,106.51676392555237,,,,,,,,,,,,,,,,1089.0444762041043,685.3857028165024,2074.0866543621896,-0.044954990009999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,433.0,11.0,46.0,1108.0,0.0,4036.493718337356,4036.493718337356,0.0,110.10354518890381,,,,,,,,,,,,,,,,1548.681923856965,1259.5329332857184,3969.2235734133496,-0.19493011992893977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,466.0,12.0,33.0,1141.0,0.0,2363.60119739436,2363.60119739436,0.0,113.0391058921814,,,,,,,,,,,,,,,,741.415099128182,796.5701316856058,2341.4759750982284,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,513.0,13.0,47.0,1188.0,0.0,4372.540588106149,4372.540588106149,0.0,116.77181720733643,,,,,,,,,,,,,,,,1742.2179754460026,1267.4593114428847,4294.951294554741,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,566.0,14.0,53.0,1241.0,0.0,3001.178391432196,3001.178391432196,0.0,120.8102707862854,,,,,,,,,,,,,,,,1120.1774435652421,812.5174794254642,2944.7537406639003,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,588.0,15.0,22.0,1263.0,0.0,2074.9077588276505,2074.9077588276505,0.0,122.80719447135925,,,,,,,,,,,,,,,,952.7761987372488,711.1282414431961,2056.0026851405723,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,607.0,16.0,19.0,1282.0,0.0,2099.2808953275307,2099.2808953275307,0.0,124.50776362419128,,,,,,,,,,,,,,,,793.6682077043762,653.0938682987979,2086.287486868015,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,651.0,17.0,44.0,1326.0,0.0,3991.7660236840798,3991.7660236840798,0.0,127.97942161560059,,,,,,,,,,,,,,,,1873.9981976917697,1183.883457047581,3913.2233263119533,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,686.0,18.0,35.0,1361.0,0.0,3337.7108382687684,3337.7108382687684,0.0,130.73216605186462,,,,,,,,,,,,,,,,1509.1740244653968,975.7044081217314,3288.177925337817,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,714.0,19.0,28.0,1389.0,0.0,4099.234637042059,4099.234637042059,0.0,133.11344122886658,,,,,,,,,,,,,,,,1757.7927124693645,1332.208088488441,4054.0705116045224,-0.015014960029969998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,744.0,20.0,30.0,1419.0,0.0,2816.7299542483292,2816.7299542483292,0.0,135.83027267456055,,,,,,,,,,,,,,,,969.4762178071101,898.2424520995305,2790.4361038179345,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,26.0,1.0,26.0,1445.0,0.0,3468.946719465464,3468.946719465464,0.0,154.00149846076965,,,,,,,,,,,,,,,,1452.5106673284972,1090.5073337444298,3434.616058173097,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,49.0,2.0,23.0,1468.0,0.0,2917.863562822163,2917.863562822163,0.0,156.0196328163147,,,,,,,,,,,,,,,,1082.796411093465,975.273894507323,2895.8551004674814,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,61.0,3.0,12.0,1480.0,0.0,1112.4594737647176,1112.4594737647176,0.0,157.26928973197937,,,,,,,,,,,,,,,,331.31562677842476,378.93867981366037,1109.5932795228994,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,92.0,4.0,31.0,1511.0,0.0,2837.659283796084,2837.659283796084,0.0,159.85845494270325,,,,,,,,,,,,,,,,1184.4679002753066,827.5225535309628,2803.7445234109605,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,160.0,5.0,68.0,1579.0,0.0,8622.306509767917,8622.306509767917,0.0,164.85985255241394,,,,,,,,,,,,,,,,4002.3520925696316,2409.816899278451,8358.505072545724,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,179.0,6.0,19.0,1598.0,0.0,2333.0096207342735,2333.0096207342735,0.0,166.67972612380981,,,,,,,,,,,,,,,,911.710513900525,748.0981885080869,2318.0051260962596,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,210.0,7.0,31.0,1629.0,0.0,3392.934763310607,3392.934763310607,0.0,169.4506003856659,,,,,,,,,,,,,,,,1470.749568725506,1025.026320632818,3350.692218899017,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,261.0,8.0,51.0,1680.0,0.0,4209.269442014745,4209.269442014745,0.0,173.4002809524536,,,,,,,,,,,,,,,,1888.6932826987243,1243.541417860581,4117.063147744855,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,298.0,9.0,37.0,1717.0,0.0,3980.2861557416363,3980.2861557416363,0.0,176.40938520431519,,,,,,,,,,,,,,,,1636.7584329381834,1204.7630334705982,3923.64974346639,-0.06741001251999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
