Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,1497.0,18.0,121.0,1497.0,0.0,11388.830353900943,11388.830353900943,0.0,105.04307961463928,,,,,,,,,,,,,,,,4790.96344667815,3135.3311576979013,10819.943720573465,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,1660.0,19.0,163.0,1660.0,0.0,15673.52510620321,15673.52510620321,0.0,116.57364344596863,,,,,,,,,,,,,,,,7149.256164301155,4084.75484508918,14522.71907049261,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,1767.0,20.0,107.0,1767.0,0.0,10112.512175329928,10112.512175329928,0.0,124.30750894546509,,,,,,,,,,,,,,,,3805.44733716463,2745.753689376175,9715.044354607917,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,84.0,1.0,84.0,1851.0,0.0,7150.45576566366,7150.45576566366,0.0,166.77407050132751,,,,,,,,,,,,,,,,2509.0891776702083,1934.6956399819296,6946.638913653019,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,192.0,2.0,108.0,1959.0,0.0,8440.666482078888,8440.666482078888,0.0,174.5347831249237,,,,,,,,,,,,,,,,3389.6946871871296,2242.4783309166282,8082.66211798066,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,275.0,3.0,83.0,2042.0,0.0,4290.119739173374,4290.119739173374,0.0,180.6889078617096,,,,,,,,,,,,,,,,1753.9798655297886,1255.9785919120613,4148.6880984328345,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,344.0,4.0,69.0,2111.0,0.0,3404.728295868397,3404.728295868397,0.0,185.8879132270813,,,,,,,,,,,,,,,,1058.8555098389052,866.1885786940408,3335.002267957471,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,513.0,5.0,169.0,2280.0,0.0,17208.27531491785,17208.27531491785,0.0,197.80086183547974,,,,,,,,,,,,,,,,8899.01505123521,4615.846243722163,15720.061833092186,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,625.0,6.0,112.0,2392.0,0.0,12133.149373595319,12133.149373595319,0.0,205.75702834129333,,,,,,,,,,,,,,,,5554.122419959925,3237.162631975235,11522.610272832651,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,651.0,7.0,26.0,2418.0,0.0,1916.4246756663088,1916.4246756663088,0.0,207.9294774532318,,,,,,,,,,,,,,,,663.501106355121,556.1744517623697,1901.0747216226978,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
