Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
19,0.0,0.0,321.0,19.0,13.0,321.0,0.0,422.24069538648587,422.24069538648587,0.0,29.89540195465088,,,,,,,,,,,,,,,,105.6069350303416,130.69400750341003,421.28909432541684,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,348.0,20.0,27.0,348.0,0.0,2188.160370706451,2188.160370706451,0.0,32.25049018859863,,,,,,,,,,,,,,,,945.3642743483725,739.3086122187505,2164.8003356346803,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,25.0,1.0,25.0,373.0,0.0,2310.2543933039788,2310.2543933039788,0.0,45.72748517990112,,,,,,,,,,,,,,,,967.0078973762617,795.5471243691335,2288.3675634330048,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,41.0,2.0,16.0,389.0,0.0,1152.594484406996,1152.594484406996,0.0,47.32199048995972,,,,,,,,,,,,,,,,419.1901044931004,340.9518159589467,1147.0344772123187,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,59.0,3.0,18.0,407.0,0.0,1317.927896972346,1317.927896972346,0.0,49.00084948539734,,,,,,,,,,,,,,,,462.66035217081105,427.8290114405104,1310.9109215548267,-0.015014960029969998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,75.0,4.0,16.0,423.0,0.0,1345.386899053003,1345.386899053003,0.0,50.49586820602417,,,,,,,,,,,,,,,,506.24864375150133,429.7615411372879,1338.6255462992783,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,90.0,5.0,15.0,438.0,0.0,1161.230815738859,1161.230815738859,0.0,52.010528326034546,,,,,,,,,,,,,,,,375.0034325172166,396.0869067008124,1156.7625267778787,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,107.0,6.0,17.0,455.0,0.0,1327.786536999416,1327.786536999416,0.0,53.69918775558472,,,,,,,,,,,,,,,,428.38569339961754,469.4198189992002,1321.82580601764,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,130.0,7.0,23.0,478.0,0.0,1823.0177902656487,1823.0177902656487,0.0,55.81587362289429,,,,,,,,,,,,,,,,776.9978821998506,581.169006939503,1806.9537927678198,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,160.0,8.0,30.0,508.0,0.0,2566.779360651485,2566.779360651485,0.0,58.35395121574402,,,,,,,,,,,,,,,,1131.5599401872216,766.5558870746853,2535.3679303762447,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
