Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,332.0,18.0,18.0,332.0,0.0,2007.0295252342066,2007.0295252342066,0.0,29.723585844039917,,,,,,,,,,,,,,,,786.2333086969396,626.7026973201617,1994.8721978755375,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,366.0,19.0,34.0,366.0,0.0,3895.593469646175,3895.593469646175,0.0,32.510753870010376,,,,,,,,,,,,,,,,1692.8735917712495,1097.4188485462053,3841.8776451711233,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,391.0,20.0,25.0,391.0,0.0,2571.470379655074,2571.470379655074,0.0,34.69561958312988,,,,,,,,,,,,,,,,897.8658198868912,819.0781295360066,2551.575309467369,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,26.0,1.0,26.0,417.0,0.0,3923.73867623892,3923.73867623892,0.0,52.10590386390686,,,,,,,,,,,,,,,,1791.8610489284697,1204.38899219921,3881.031320287066,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,46.0,2.0,20.0,437.0,0.0,2564.0710986703734,2564.0710986703734,0.0,53.98432469367981,,,,,,,,,,,,,,,,1039.6156255745664,855.3019288358286,2545.8246107696523,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,61.0,3.0,15.0,452.0,0.0,1652.373342767551,1652.373342767551,0.0,55.39299750328064,,,,,,,,,,,,,,,,639.3632869943236,547.9521168396836,1644.42732078342,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,132.0,4.0,71.0,523.0,0.0,7218.459595069111,7218.459595069111,0.0,60.67352056503296,,,,,,,,,,,,,,,,3185.825545684927,1842.9129396387582,6999.265246572053,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,151.0,5.0,19.0,542.0,0.0,2425.692421299451,2425.692421299451,0.0,62.40279030799866,,,,,,,,,,,,,,,,970.3796855078248,780.5656644830135,2409.664872146949,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,179.0,6.0,28.0,570.0,0.0,2883.282100244522,2883.282100244522,0.0,64.77718615531921,,,,,,,,,,,,,,,,1168.1987529047044,878.9789288603808,2853.4259611243156,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,194.0,7.0,15.0,585.0,0.0,1877.5735730977926,1877.5735730977926,0.0,66.37992906570435,,,,,,,,,,,,,,,,769.3831288197814,617.0202474501567,1867.9007268923885,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,206.0,8.0,12.0,597.0,0.0,1052.088573769396,1052.088573769396,0.0,67.67143869400024,,,,,,,,,,,,,,,,355.23997485385166,331.11551879301436,1048.8745686397895,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,221.0,9.0,15.0,612.0,0.0,1776.8186474115398,1776.8186474115398,0.0,69.19733119010925,,,,,,,,,,,,,,,,719.5121259839259,574.892664729091,1767.7937592810626,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,237.0,10.0,16.0,628.0,0.0,1581.005716961798,1581.005716961798,0.0,70.81043267250061,,,,,,,,,,,,,,,,652.746134007723,500.83875974840663,1572.133912730405,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,253.0,11.0,16.0,644.0,0.0,1877.0673028884328,1877.0673028884328,0.0,72.61212253570557,,,,,,,,,,,,,,,,724.7014076327839,612.8109989177801,1867.3394197860944,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,268.0,12.0,15.0,659.0,0.0,1925.6859306800022,1925.6859306800022,0.0,74.10632681846619,,,,,,,,,,,,,,,,824.0777847289088,611.8506850294236,1915.2400039129814,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
