Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
19,0.0,0.0,492.0,19.0,23.0,492.0,0.0,1981.9648191284516,1981.9648191284516,0.0,40.42032027244568,,,,,,,,,,,,,,,,1073.3030011840872,626.9724900700428,1959.238088189407,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,527.0,20.0,35.0,527.0,0.0,3374.965125250105,3374.965125250105,0.0,43.232433557510376,,,,,,,,,,,,,,,,1836.7030352254187,1028.487407508163,3313.994513530745,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,29.0,1.0,29.0,556.0,0.0,2903.3636974820465,2903.3636974820465,0.0,67.25055813789368,,,,,,,,,,,,,,,,1557.7028682647697,869.8083429463878,2861.051365668036,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,52.0,2.0,23.0,579.0,0.0,2775.68281934672,2775.68281934672,0.0,69.26388311386108,,,,,,,,,,,,,,,,1373.9721070700248,856.5765474072973,2746.8282891732824,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,71.0,3.0,19.0,598.0,0.0,2255.8603050117276,2255.8603050117276,0.0,71.0081889629364,,,,,,,,,,,,,,,,1224.1276500701151,693.3598478947279,2234.836716376773,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,116.0,4.0,45.0,643.0,0.0,5116.936740796953,5116.936740796953,0.0,74.45380449295044,,,,,,,,,,,,,,,,2696.688947589039,1525.6311005651175,5000.586324479926,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,134.0,5.0,18.0,661.0,0.0,1119.552816135942,1119.552816135942,0.0,76.1141505241394,,,,,,,,,,,,,,,,610.201244934768,334.5807676356192,1109.6788725997162,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,169.0,6.0,35.0,696.0,0.0,3758.2327468194967,3758.2327468194967,0.0,79.3028724193573,,,,,,,,,,,,,,,,1736.373793849325,1209.277840913883,3701.1608248596303,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,209.0,7.0,40.0,736.0,0.0,5003.378717405532,5003.378717405532,0.0,82.65978813171387,,,,,,,,,,,,,,,,2478.261306895979,1395.7342843904044,4909.157422552244,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,251.0,8.0,42.0,778.0,0.0,4585.06056869844,4585.06056869844,0.0,85.95910859107971,,,,,,,,,,,,,,,,2224.094409756239,1239.8738424059602,4496.144748236916,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,274.0,9.0,23.0,801.0,0.0,2513.0377605124913,2513.0377605124913,0.0,87.99846768379211,,,,,,,,,,,,,,,,1339.0825683220392,755.4002582338301,2484.7235850261104,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,304.0,10.0,30.0,831.0,0.0,2753.73051609991,2753.73051609991,0.0,90.51970601081848,,,,,,,,,,,,,,,,1418.2761621260183,802.2141991968374,2713.8961273634936,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,326.0,11.0,22.0,853.0,0.0,2426.7510887802378,2426.7510887802378,0.0,92.38581657409668,,,,,,,,,,,,,,,,1289.617097337983,730.38136026499,2400.7802929317336,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,353.0,12.0,27.0,880.0,0.0,2499.5119474895187,2499.5119474895187,0.0,94.6729986667633,,,,,,,,,,,,,,,,1257.7745497075782,755.8808833569424,2468.020054702117,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,398.0,13.0,45.0,925.0,0.0,4638.019604867439,4638.019604867439,0.0,98.11751890182495,,,,,,,,,,,,,,,,2521.337868969672,1491.875428667078,4529.088489253057,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,441.0,14.0,43.0,968.0,0.0,4345.831856898278,4345.831856898278,0.0,101.59380912780762,,,,,,,,,,,,,,,,2304.784955525127,1265.6061788648317,4250.977080891586,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,457.0,15.0,16.0,984.0,0.0,1136.54295940788,1136.54295940788,0.0,103.17196464538574,,,,,,,,,,,,,,,,465.40950845049593,344.905085370755,1130.2266339065789,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,471.0,16.0,14.0,998.0,0.0,1105.7522090453995,1105.7522090453995,0.0,104.61379528045654,,,,,,,,,,,,,,,,582.0182742238712,367.1244530998516,1098.7026558621276,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,497.0,17.0,26.0,1024.0,0.0,2813.159516757702,2813.159516757702,0.0,106.99995017051697,,,,,,,,,,,,,,,,1507.780835121155,832.3844471073445,2776.7339489935457,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,549.0,18.0,52.0,1076.0,0.0,5390.39542513462,5390.39542513462,0.0,111.0735673904419,,,,,,,,,,,,,,,,2550.318269240749,1449.35425319665,5263.04191705115,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,576.0,19.0,27.0,1103.0,0.0,2584.9097700923235,2584.9097700923235,0.0,113.35301542282104,,,,,,,,,,,,,,,,1331.497506692808,816.3527426540571,2551.5108482598775,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,611.0,20.0,35.0,1138.0,0.0,3251.5885546953896,3251.5885546953896,0.0,116.18396472930908,,,,,,,,,,,,,,,,1671.27151008474,899.7291555391408,3196.2903421846077,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,19.0,1.0,19.0,1157.0,0.0,1461.6992985656263,1461.6992985656263,0.0,132.89269518852234,,,,,,,,,,,,,,,,706.4400957069694,463.2594225159754,1449.7266634106047,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,42.0,2.0,23.0,1180.0,0.0,2138.465850721803,2138.465850721803,0.0,134.84919500350952,,,,,,,,,,,,,,,,1022.8124416076821,595.7459094338577,2117.058222787614,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,61.0,3.0,19.0,1199.0,0.0,2352.165614760561,2352.165614760561,0.0,136.60494709014893,,,,,,,,,,,,,,,,1187.3830466442002,721.469416159887,2331.93727414847,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,105.0,4.0,44.0,1243.0,0.0,4760.593001709192,4760.593001709192,0.0,140.021808385849,,,,,,,,,,,,,,,,2551.9126313715587,1414.5130640520163,4652.961807736579,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,144.0,5.0,39.0,1282.0,0.0,4108.231080608933,4108.231080608933,0.0,143.079256772995,,,,,,,,,,,,,,,,2181.1059415682425,1217.468257656358,4027.195144031802,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,199.0,6.0,55.0,1337.0,0.0,5769.507947155402,5769.507947155402,0.0,147.36527156829834,,,,,,,,,,,,,,,,3075.2710154188653,1700.3641334584195,5605.974015322685,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,248.0,7.0,49.0,1386.0,0.0,5267.078140651875,5267.078140651875,0.0,151.1770315170288,,,,,,,,,,,,,,,,2553.6986631203886,1429.4151713155748,5147.094000159134,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
